id,shop_domain,application_id,autocomplete_enabled,user_created_at_least_one_qr,nbr_merchandised_queries,nbrs_pinned_items,showing_logo,has_changed_sort_orders,analytics_enabled,use_metafields,nbr_metafields,use_default_colors,show_products,instant_search_enabled,instant_search_enabled_on_collection,only_using_faceting_on_collection,use_merchandising_for_collection,index_prefix,indexing_paused,install_channel,export_date
1d948de7-ea94-4e00-b784-1b598c97dbaa,himself-hair-southern.myshopify.com,HM2DF8P5KS,True,False,0,[0],True,False,False,False,9,True,False,False,False,False,False,shopify_already_,False,marketplace,2019-04-02
9e1209d3-6a7d-45fa-b330-a452316f9dcc,professional-really-music.myshopify.com,WTE6P6DQ90,True,False,0,[0],True,False,False,False,11,True,False,False,False,False,False,shopify_,False,marketplace,2019-04-02
bceefd16-ebb1-4a26-9080-38cd65b6f5ae,movie-than-about.myshopify.com,9EMV0SZBNG,True,False,0,[0],True,False,False,False,4,True,False,False,False,False,False,shopify_,False,marketplace,2019-04-02
67bc3189-e1b1-4628-beb6-4dc288729c20,growth-this-identify.myshopify.com,9TCETJH192,True,False,0,[0],True,False,False,False,3,True,False,False,False,False,False,shopify_his_chance_husband_,False,marketplace,2019-04-02
fc91131e-1175-49a5-be3d-514816f365fd,do-forget-majority.myshopify.com,83QW0XS6TQ,True,False,0,[0],False,False,False,False,1,True,False,False,False,False,False,shopify_behind_,False,marketplace,2019-04-02
a7b0e244-d0b1-4153-ae8d-98e9cd0f272e,might-beautiful-art.myshopify.com,H9AKAWXJ6V,True,False,0,[0],True,False,False,False,13,True,False,False,False,False,False,shopify_arrive_land_everything_,False,marketplace,2019-04-02
03096398-15dc-4807-8fec-889d9697ec51,industry-age-base.myshopify.com,UQO5QXK4AV,True,True,3,"[1, 2, 2]",True,False,True,True,N/A,True,False,True,True,False,False,shopify_,False,marketplace,2019-04-02
7dd67bc9-a94a-46c9-9e73-c6e4a9f7af7a,class-laugh-record.myshopify.com,NMFNXL64BX,True,False,0,[0],False,False,False,True,18,True,False,False,False,False,False,shopify_,False,marketplace,2019-04-02
be97e583-e0bc-4923-a9dd-296e07d5983b,education-fire-color.myshopify.com,U7E1PTH41J,True,False,0,[0],False,False,False,True,17,True,False,False,False,False,False,shopify_,False,marketplace,2019-04-02
2fa8ba9a-f266-41fe-8106-229570edc2e5,country-growth-instead.myshopify.com,WS8LXXWHTY,True,False,0,[0],True,False,False,False,N/A,True,False,False,False,False,False,shopify_describe_,False,marketplace,2019-04-02
