id,shop_domain,application_id,autocomplete_enabled,user_created_at_least_one_qr,nbr_merchandised_queries,nbrs_pinned_items,showing_logo,has_changed_sort_orders,analytics_enabled,use_metafields,nb_metafields,show_products,instant_search_enabled,instant_search_enabled_on_collection,only_using_faceting_on_collection,use_merchandising_for_collection,index_prefix,indexing_paused,install_channel,export_date,nb_admin_user
efae6d19-e60a-42cf-bb9e-e682aee2f28a,rise-training-improve.myshopify.com,B8ALBFW4PX,True,False,0,[0],True,False,False,False,16,False,False,False,False,False,shopify_character_traditional_forward_,False,marketplace,2019-04-08,8
c2387677-d808-4d27-bda4-ab703a530126,require-school-much.myshopify.com,CTRE3IEWJQ,True,False,0,[0],True,False,False,False,1,False,False,False,False,False,shopify_sort_argue_appear_,False,marketplace,2019-04-08,4
e63dc634-9c4d-4998-a964-31bdcbbeefd2,west-themselves-different.myshopify.com,C93HJK99RW,True,False,0,[0],True,False,False,False,4,False,False,False,False,False,shopify_smile_,False,marketplace,2019-04-08,9
3e2c9514-e2cb-48c8-8338-795e92f610f0,yet-chance-water.myshopify.com,R356QQOIUO,True,False,0,[0],True,False,False,False,5,False,False,False,False,False,shopify_between_require_issue_,False,marketplace,2019-04-08,15
0ac6b118-6f75-4bd5-9586-1afcc357a0af,personal-late-exist.myshopify.com,RAPJQLCMB8,True,False,0,[0],False,False,False,False,13,False,False,False,False,False,shopify_probably_,False,marketplace,2019-04-08,13
1fd91841-d613-4cdf-be38-f8650f65ea0e,action-international-dream.myshopify.com,1V2IUOKV17,True,False,0,[0],True,False,False,False,N/A,False,False,False,False,False,shopify_,False,marketplace,2019-04-08,15
89393f81-71dc-4bc2-8a4e-70e5e707977d,along-others-though.myshopify.com,3X2DD8HL1S,True,True,3,"[2, 2, 2]",True,False,True,True,10,False,True,True,False,False,shopify_,False,marketplace,2019-04-08,11
4834a061-211f-4b69-abad-fb87534b2e5b,letter-school-direction.myshopify.com,88FXFDAIA1,True,False,0,[0],False,False,False,True,12,False,False,False,False,False,shopify_your_,False,marketplace,2019-04-08,12
7eb74353-2485-471f-bdc0-77e0fab8b132,nice-floor-even.myshopify.com,5DPSXVEZM8,True,False,0,[0],False,False,False,True,8,False,False,False,False,False,shopify_crime_,False,marketplace,2019-04-08,7
c956dd8f-6835-4083-8c35-ccda48851953,imagine-activity-energy.myshopify.com,1N9YKPI9PU,True,False,0,[0],True,False,False,False,14,False,False,False,False,False,shopify_,False,marketplace,2019-04-08,16
deb390d2-ce0b-4ac6-b671-0b7ffccb0eee,state-purpose-very.myshopify.com,SGMR4KOIBJ,True,False,0,[0],True,True,False,False,1,False,False,False,False,False,shopify_,False,marketplace,2019-04-08,7
2da31b20-63c0-49c8-b2b4-ea37aed9275c,sea-sense-traditional.myshopify.com,,True,True,1,[2],False,False,True,True,8,True,True,False,True,False,shopify_like_across_blue_,False,marketplace,2019-04-08,10
1d568573-5906-4512-a578-8d93f0ea4b0b,activity-season-mrs.myshopify.com,6NTGP7MTUC,True,False,0,[0],False,False,False,False,18,False,True,False,False,False,shopify_,False,marketplace,2019-04-08,12
cdb62380-969f-451c-840b-452fc68bd7b0,center-above-hard.myshopify.com,WHHVXO24YF,True,False,0,[0],True,True,False,True,17,False,False,False,False,False,shopify_character_each_lead_,False,marketplace,2019-04-08,14
b5b4fcf3-20ae-47ca-99cf-7870f8bf1dca,benefit-next-entire.myshopify.com,VDH0PU33UM,True,False,0,[0],True,True,False,False,2,False,False,False,False,False,shopify_wish_,False,marketplace,2019-04-08,10
3a7279b9-66a7-49d6-a14b-afaea17a2dfa,story-receive-message.myshopify.com,OKK8JS8W8N,True,False,0,[0],False,True,True,False,15,True,True,False,False,False,shopify_,False,marketplace,2019-04-08,7
eca5ddc1-c253-49bd-b4c7-0674e0c130d2,order-for-once.myshopify.com,XU4LTWTC04,True,False,0,[0],True,True,False,True,19,False,False,False,False,False,shopify_,False,marketplace,2019-04-08,19
60122a2b-63da-46a8-92ae-30b455638963,film-would-style.myshopify.com,E0DF61EODZ,False,False,0,[0],False,False,False,True,N/A,True,False,False,False,False,shopify_decide_,False,marketplace,2019-04-08,13
68323bd0-11f7-45fb-b797-8e32dab25e37,record-heart-meet.myshopify.com,SPGJWTUD6R,True,False,0,[0],False,False,False,True,4,False,True,False,False,False,shopify_,False,marketplace,2019-04-08,19
7c8aedf3-679a-4c19-910f-7f919d67fac5,reduce-sport-central.myshopify.com,,True,False,0,[0],False,False,False,False,0,False,True,False,False,False,shopify_member_,False,marketplace,2019-04-08,11
85c44f44-0e92-473a-ba69-61d56915993d,sure-interest-which.myshopify.com,RNVQXHIOJ1,True,False,0,[0],True,True,False,False,6,False,False,False,False,False,shopify_,False,marketplace,2019-04-08,9
d0fb9ade-6dc7-48db-be7d-e65894add9ef,shake-clearly-north.myshopify.com,8PDB0P6X2J,True,False,0,[0],False,True,False,False,N/A,False,False,False,False,False,shopify_wear_,False,marketplace,2019-04-08,4
fdc0fdab-d676-488d-9c03-b8a6168d1a75,ever-place-stage.myshopify.com,4XLDTOPY5Z,True,False,0,[0],False,False,False,True,11,False,True,False,False,False,shopify_large_plan_debate_,False,marketplace,2019-04-08,6
1696ca03-5b2f-416b-b6be-41c9b698c586,end-soon-change.myshopify.com,4CLYL15CQE,True,False,0,[0],False,True,False,False,9,False,True,False,False,False,shopify_almost_,False,marketplace,2019-04-08,17
ec0fa981-56dc-460b-8f5e-377a2b12bb7d,result-free-begin.myshopify.com,O4RKAGO3NX,True,False,0,[0],False,False,False,True,1,True,True,False,False,False,shopify_,False,marketplace,2019-04-08,7
ce4aa68c-a975-486e-b399-3ed99d05139a,method-stage-leave.myshopify.com,3SDP2NY001,True,False,0,[0],True,True,False,False,N/A,False,False,False,False,False,shopify_purpose_,False,marketplace,2019-04-08,11
1aeafb9b-6a45-469c-be15-1890f2c5eefe,listen-mean-challenge.myshopify.com,NB9D4WAA3I,True,False,0,[0],True,False,False,True,16,False,True,False,False,False,shopify_defense_,False,marketplace,2019-04-08,5
42f7d627-4c5c-4117-8c96-8ff7fb70e5b0,music-ahead-upon.myshopify.com,CG9TKPSQXX,True,False,0,[0],True,True,False,False,6,False,False,False,False,False,shopify_whatever_,False,marketplace,2019-04-08,14
666e2146-a555-41ff-8f67-df2bdcc2d81b,myself-every-purpose.myshopify.com,OVU3WY34Y7,True,False,0,[0],True,True,False,False,17,False,True,False,False,False,shopify_,False,marketplace,2019-04-08,14
